image_id,file_name,ann_id,category_id,category_name,bbox_x,bbox_y,bbox_w,bbox_h,area,iscrowd,segmentation_type,hsv_color,color_dominance,verified_color
435707,000000435707.jpg,60953,631,laptop,110.75,93.33,449.72,333.8,103159.78,0,polygon,gray,0.971395,white
27235,000000027235.jpg,64983,1071,teddy,59.93,312.84,269.7,255.2,38881.82,0,polygon,orange,0.951756,brown
541635,000000541635.jpg,67016,169,bun,266.79,69.29,88.29,256.87,16791.35,0,polygon,orange,0.913227,brown
81943,000000081943.jpg,68225,1097,toilet,95.8,123.98,294.4,129.16,28121.34,0,polygon,gray,0.98673,white
570115,000000570115.jpg,68647,225,cat,3.29,52.69,297.8,534.29,106340.49,0,polygon,black,0.949183,black
219075,000000219075.jpg,76753,421,fridge,189.65,146.8,153.07,333.2,47607.49,0,polygon,gray,0.963962,white
554523,000000554523.jpg,78473,421,fridge,157.1,149.9,195.32,388.35,70743.61,0,polygon,gray,0.948389,white
159449,000000159449.jpg,80105,421,fridge,102.76,11.68,165.88,426.01,63576.33,0,polygon,red,0.918976,red
463901,000000463901.jpg,81528,1133,umbrella,63.52,60.02,234.28,228.17,36123.34,0,polygon,blue,0.990504,blue
278184,000000278184.jpg,82434,1071,teddy,113.32,0.0,386.68,500.0,141379.84,0,polygon,orange,0.981504,brown
516248,000000516248.jpg,84697,296,keyboard,249.04,202.88,250.96,123.08,20162.29,0,polygon,black,0.972332,black
399851,000000399851.jpg,84752,421,fridge,403.96,147.06,76.04,279.98,18665.04,0,polygon,gray,0.925587,white
435896,000000435896.jpg,85740,1097,toilet,0.0,38.91,480.0,601.09,177635.4,0,polygon,orange,0.979214,white
504517,000000504517.jpg,90580,225,cat,0.0,13.01,329.2,291.42,68453.79,0,polygon,orange,0.986285,orange
260525,000000260525.jpg,90826,474,frisbee,117.67,83.48,280.2,287.39,61051.35,0,polygon,yellow,0.921936,yellow
85940,000000085940.jpg,91605,1077,tv,12.32,143.04,199.68,161.24,30598.16,0,polygon,black,0.91121,black
274653,000000274653.jpg,92762,183,cake,94.3,20.97,439.22,447.33,153045.65,0,polygon,orange,0.923548,white
481753,000000481753.jpg,97991,1097,toilet,16.71,92.3,387.69,306.06,63457.63,0,polygon,gray,0.944496,white
165133,000000165133.jpg,101498,1037,surfboard,194.09,56.53,132.01,536.59,47499.07,0,polygon,white,0.910404,white
250210,000000250210.jpg,104334,687,microwave,119.95,113.75,306.02,173.13,48342.87,0,polygon,gray,0.950734,white
251627,000000251627.jpg,104587,474,frisbee,492.2,0.0,147.8,126.92,15369.91,0,polygon,red,0.939538,red
65661,000000065661.jpg,106375,1133,umbrella,40.46,169.62,284.63,345.94,65520.69,0,polygon,gray,0.992995,gray
448024,000000448024.jpg,114260,225,cat,185.42,226.4,454.58,192.77,44672.16,0,polygon,orange,0.953637,orange
393145,000000393145.jpg,114290,496,giraffe,0.0,43.4,363.14,383.6,106180.9,0,polygon,orange,0.903736,brown
470256,000000470256.jpg,115624,373,dishwasher,345.75,291.77,105.22,173.81,15391.01,0,polygon,gray,0.971412,white
196719,000000196719.jpg,124903,36,suitcase,1.38,111.4,476.32,262.5,109259.3,0,polygon,orange,0.985281,brown
222343,000000222343.jpg,126618,1097,toilet,116.55,385.65,207.65,252.99,38609.32,0,polygon,gray,0.952751,white
58927,000000058927.jpg,129465,1097,toilet,200.42,247.82,230.33,217.43,31916.99,0,polygon,gray,0.956741,white
387434,000000387434.jpg,133663,225,cat,211.9,0.0,428.1,351.79,97855.39,0,polygon,black,0.966474,black
226368,000000226368.jpg,136620,36,suitcase,89.34,60.5,334.57,272.5,67367.96,0,polygon,blue,0.921846,blue
190783,000000190783.jpg,138608,1071,teddy,0.0,27.5,605.14,419.76,177538.67,0,polygon,gray,0.964768,white
130485,000000130485.jpg,138875,1050,table,183.48,411.63,242.27,227.98,37392.54,0,polygon,orange,0.999361,brown
574796,000000574796.jpg,140690,735,orange,295.28,79.42,182.38,190.23,27341.03,0,polygon,orange,0.973304,orange
575817,000000575817.jpg,142407,1097,toilet,258.61,0.76,256.09,385.06,63983.53,0,polygon,gray,0.906391,white
118625,000000118625.jpg,142880,421,fridge,303.5,61.21,192.52,313.79,52705.52,0,polygon,orange,0.999431,white
459440,000000459440.jpg,143072,296,keyboard,504.11,100.33,135.89,186.57,20840.57,0,polygon,gray,0.950946,white
317035,000000317035.jpg,144465,36,suitcase,167.23,48.21,407.47,342.85,114708.27,0,polygon,orange,0.947236,red
218844,000000218844.jpg,146355,687,microwave,0.0,84.34,312.41,261.49,54593.5,0,polygon,gray,0.945899,white
43098,000000043098.jpg,146679,36,suitcase,94.6,399.65,170.72,148.26,21882.87,0,polygon,blue,0.945663,blue
453162,000000453162.jpg,147513,1133,umbrella,267.24,0.0,371.39,456.89,100997.72,0,polygon,gray,0.975082,gray
303706,000000303706.jpg,148422,421,fridge,0.0,180.07,404.14,245.93,85911.76,0,polygon,yellow,0.9973,white
144635,000000144635.jpg,151306,77,bed,40.36,144.38,423.52,277.31,86812.91,0,polygon,gray,0.967237,white
417804,000000417804.jpg,152308,296,keyboard,0.0,167.53,504.54,259.47,80820.85,0,polygon,gray,0.9903,white
527102,000000527102.jpg,159444,1133,umbrella,316.1,40.52,276.57,197.71,26588.67,0,polygon,yellow,0.957637,yellow
243857,000000243857.jpg,161927,739,oven,375.58,196.98,129.52,175.43,15368.28,0,polygon,gray,0.925431,white
398158,000000398158.jpg,166014,1077,tv,321.92,185.25,133.1,127.06,14694.46,0,polygon,black,0.931708,black
306636,000000306636.jpg,172870,474,frisbee,138.42,323.06,173.25,103.94,14864.08,0,polygon,green,0.976064,yellow
397404,000000397404.jpg,173740,421,fridge,96.2,262.7,270.44,352.4,65224.31,0,polygon,orange,0.988377,white
375180,000000375180.jpg,183780,421,fridge,237.45,113.59,113.77,158.51,16117.69,0,polygon,orange,0.977655,white
137227,000000137227.jpg,185378,344,cup,0.79,1.04,464.51,424.81,146349.27,0,polygon,orange,0.928357,white
312056,000000312056.jpg,197292,225,cat,216.63,49.34,423.37,246.58,42413.0,0,polygon,yellow,0.975172,white
578710,000000578710.jpg,201843,1071,teddy,320.18,187.86,174.95,247.87,27403.84,0,polygon,orange,0.94439,brown
6266,000000006266.jpg,202514,80,cow,0.0,87.03,436.36,552.97,212269.05,0,polygon,orange,0.924988,brown
182469,000000182469.jpg,204178,1019,stop sign,110.69,206.24,123.52,145.15,14254.97,0,polygon,gray,0.987148,gray
213429,000000213429.jpg,206502,1097,toilet,0.23,421.76,137.67,217.7,18763.25,0,polygon,yellow,0.924111,white
77178,000000077178.jpg,210478,139,bowl,188.04,285.3,249.14,234.68,42761.12,0,polygon,orange,0.942172,brown
334015,000000334015.jpg,211949,1097,toilet,169.76,195.33,148.37,287.03,33422.5,0,polygon,gray,0.972973,white
483432,000000483432.jpg,212117,421,fridge,142.9,39.68,190.33,365.89,63764.06,0,polygon,gray,0.915035,white
158563,000000158563.jpg,212755,445,fireplug,252.04,51.82,229.94,428.18,57440.66,0,polygon,yellow,0.937328,yellow
211882,000000211882.jpg,216814,232,chair,218.34,334.82,260.72,303.98,61669.31,0,polygon,red,0.907067,red
473124,000000473124.jpg,218274,735,orange,1.04,174.26,103.4,101.87,8778.28,0,polygon,orange,0.961433,orange
476856,000000476856.jpg,219550,225,cat,152.64,8.97,487.36,471.03,143562.48,0,polygon,black,0.940632,black
580766,000000580766.jpg,221568,1139,vase,260.94,224.66,154.7,237.72,24260.87,0,polygon,blue,0.975343,blue
495980,000000495980.jpg,222735,421,fridge,250.34,51.17,169.51,305.06,47402.39,0,polygon,yellow,0.943399,white
61106,000000061106.jpg,226638,421,fridge,117.35,0.51,272.67,294.94,55089.81,0,polygon,gray,0.90168,white
516212,000000516212.jpg,227972,687,microwave,58.94,236.45,233.0,137.1,27136.45,0,polygon,gray,0.905733,white
512780,000000512780.jpg,231845,716,tie,133.07,277.44,84.95,345.81,17604.89,0,polygon,orange,0.973754,orange
522566,000000522566.jpg,234344,1037,surfboard,147.78,60.26,99.85,325.9,22584.57,0,polygon,white,0.925893,white
210920,000000210920.jpg,234639,36,suitcase,218.49,173.11,263.44,200.51,43149.96,0,polygon,black,0.915703,black
136458,000000136458.jpg,235752,631,laptop,135.53,81.52,148.54,194.76,26374.85,0,polygon,black,0.947087,black
8267,000000008267.jpg,237847,1097,toilet,150.29,246.1,170.44,345.07,52202.89,0,polygon,gray,0.992529,white
406201,000000406201.jpg,240808,1097,toilet,20.19,0.0,391.28,639.38,184686.1,0,polygon,orange,0.939358,yellow
149550,000000149550.jpg,241781,961,sink,91.78,243.15,251.0,111.95,23258.28,0,polygon,orange,0.97347,white
255842,000000255842.jpg,244925,421,fridge,389.54,150.56,250.46,275.44,67915.87,0,polygon,gray,0.902577,white
214184,000000214184.jpg,247489,225,cat,0.0,264.37,407.22,260.66,68753.03,0,polygon,black,0.908071,black
225456,000000225456.jpg,250609,225,cat,19.53,286.68,178.75,284.79,31439.2,0,polygon,black,0.939758,black
205570,000000205570.jpg,250675,139,bowl,324.54,43.46,252.55,185.76,34569.68,0,polygon,yellow,0.947143,yellow
42492,000000042492.jpg,252994,421,fridge,495.58,124.64,144.42,355.36,43640.13,0,polygon,white,0.991568,white
420522,000000420522.jpg,253921,387,doughnut,26.53,64.58,311.34,257.6,55796.94,0,polygon,orange,0.924861,brown
295767,000000295767.jpg,256973,1050,table,0.78,219.59,269.55,206.63,30263.44,0,polygon,orange,0.921361,brown
168243,000000168243.jpg,259635,1133,umbrella,0.0,0.0,372.64,225.0,39853.3,0,polygon,yellow,0.94639,yellow
482994,000000482994.jpg,260059,225,cat,108.03,64.04,449.87,193.06,68482.47,0,polygon,orange,0.912727,white
413497,000000413497.jpg,262953,271,clock,134.54,175.95,163.36,169.88,21543.26,0,polygon,gray,0.966308,white
463628,000000463628.jpg,266250,1133,umbrella,98.49,246.7,331.28,231.6,58083.42,0,polygon,red,0.995397,red
240589,000000240589.jpg,272268,445,fireplug,82.44,96.31,192.86,283.9,29417.21,0,polygon,orange,0.977488,yellow
280688,000000280688.jpg,272964,296,keyboard,0.0,189.84,480.0,151.4,30932.51,0,polygon,gray,0.999483,white
500471,000000500471.jpg,280357,36,suitcase,17.74,52.28,622.26,390.83,139314.01,0,polygon,black,0.932805,brown
137130,000000137130.jpg,281827,1071,teddy,222.01,136.48,204.99,399.39,44103.0,0,polygon,orange,0.981318,brown
277025,000000277025.jpg,282734,139,bowl,105.57,419.64,192.05,177.04,20276.4,0,polygon,orange,0.928529,white
521352,000000521352.jpg,289510,735,orange,218.74,10.32,421.04,412.06,135311.61,0,polygon,orange,0.992676,orange
134288,000000134288.jpg,291260,735,orange,67.33,16.07,298.5,306.62,72178.37,0,polygon,orange,0.980699,orange
122493,000000122493.jpg,292645,474,frisbee,158.1,143.19,252.2,116.5,22399.46,0,polygon,green,0.911473,green
558132,000000558132.jpg,293433,474,frisbee,147.9,437.48,197.83,153.29,23558.88,0,polygon,red,0.943869,pink
200202,000000200202.jpg,300719,474,frisbee,364.93,261.87,157.89,149.82,17956.38,0,polygon,red,0.971677,red
336313,000000336313.jpg,303694,344,cup,256.85,135.92,142.42,162.27,17043.47,0,polygon,yellow,0.999003,yellow
331353,000000331353.jpg,304801,271,clock,4.23,37.29,305.58,370.27,88268.02,0,polygon,orange,0.911753,white
350810,000000350810.jpg,307493,296,keyboard,0.0,317.98,640.0,162.02,82417.34,0,polygon,white,0.935419,white
560189,000000560189.jpg,310213,225,cat,92.91,68.13,367.52,302.17,42520.72,0,polygon,orange,0.903416,brown
251319,000000251319.jpg,311853,716,tie,252.4,0.0,116.25,177.19,16967.27,0,polygon,white,0.992986,white
114239,000000114239.jpg,316418,225,cat,246.33,238.73,178.67,307.71,33132.8,0,polygon,black,0.989043,black
559900,000000559900.jpg,317326,982,sofa,337.73,52.63,162.27,163.05,21172.07,0,polygon,gray,0.972174,gray
377864,000000377864.jpg,318370,1021,stove,29.5,43.34,358.66,456.96,134784.54,0,polygon,orange,0.909076,white
3899,000000003899.jpg,319604,421,fridge,336.16,147.18,73.8,231.98,15737.45,0,polygon,orange,0.973803,white
344597,000000344597.jpg,321585,631,laptop,423.93,324.41,216.07,155.59,17265.17,0,polygon,gray,0.961383,white
517794,000000517794.jpg,322068,735,orange,139.54,61.7,190.78,187.73,27717.46,0,polygon,yellow,0.988776,yellow
193015,000000193015.jpg,322706,45,banana,0.0,90.76,359.6,282.8,60520.63,0,polygon,yellow,0.91387,yellow
215132,000000215132.jpg,323739,982,sofa,0.82,335.99,439.73,88.55,37571.12,0,polygon,blue,0.963854,blue
283557,000000283557.jpg,329482,183,cake,0.0,131.61,610.3,272.58,97224.51,0,polygon,orange,0.956165,brown
38771,000000038771.jpg,331122,1097,toilet,89.14,52.34,390.86,584.56,133834.02,0,polygon,gray,0.987042,white
367718,000000367718.jpg,333303,982,sofa,0.0,208.38,261.66,218.62,36967.94,0,polygon,orange,0.917749,brown
573341,000000573341.jpg,333759,421,fridge,447.97,109.06,148.29,286.58,31041.98,0,polygon,gray,0.940037,white
558090,000000558090.jpg,333901,735,orange,277.11,54.76,199.78,194.09,25994.12,0,polygon,orange,0.955732,orange
443397,000000443397.jpg,338675,45,banana,5.0,213.83,440.08,383.76,47526.64,0,polygon,yellow,0.913754,yellow
158982,000000158982.jpg,340561,1097,toilet,257.79,441.33,191.79,198.67,28152.45,0,polygon,yellow,0.969663,white
413603,000000413603.jpg,346881,1071,teddy,86.4,87.54,296.23,441.19,86017.25,0,polygon,orange,0.957368,brown
86564,000000086564.jpg,347765,232,chair,0.0,242.35,640.0,164.64,38940.01,0,polygon,black,0.985433,black
27627,000000027627.jpg,355449,387,doughnut,338.78,104.77,248.66,248.22,37039.55,0,polygon,orange,0.936965,brown
10444,000000010444.jpg,355767,387,doughnut,0.0,238.37,287.04,248.2,57492.36,0,polygon,orange,0.914505,brown
543194,000000543194.jpg,358377,982,sofa,207.69,358.39,432.31,121.61,37328.62,0,polygon,black,0.938909,black
106363,000000106363.jpg,361910,1097,toilet,193.98,260.7,189.65,219.3,27074.07,0,polygon,gray,0.983045,white
515377,000000515377.jpg,367455,421,fridge,174.25,141.88,325.66,338.12,103597.33,0,polygon,gray,0.918307,white
42321,000000042321.jpg,369055,1097,toilet,221.85,42.4,128.47,244.22,17812.84,0,polygon,gray,0.960097,white
320649,000000320649.jpg,370119,225,cat,181.24,1.57,457.22,331.52,119972.45,0,polygon,orange,0.920383,orange
432297,000000432297.jpg,372124,982,sofa,381.08,220.51,258.91,252.1,33602.07,0,polygon,orange,0.982124,brown
168076,000000168076.jpg,372401,296,keyboard,0.0,0.0,535.55,480.0,206831.07,0,polygon,blue,0.958769,blue
522195,000000522195.jpg,373806,378,dog,202.67,0.0,437.33,350.72,95596.06,0,polygon,orange,0.997019,brown
578197,000000578197.jpg,383067,1037,surfboard,12.84,81.15,627.16,345.85,86618.75,0,polygon,gray,0.936146,white
231450,000000231450.jpg,390028,421,fridge,504.94,115.42,79.36,150.61,9169.57,0,polygon,gray,0.984073,white
553366,000000553366.jpg,393211,422,elephant,3.69,115.0,408.07,386.95,87304.58,0,polygon,gray,0.965813,gray
175672,000000175672.jpg,393357,1019,stop sign,131.69,184.0,197.11,180.52,26539.19,0,polygon,orange,0.987757,red
564283,000000564283.jpg,393683,421,fridge,243.79,117.49,130.95,382.04,46662.9,0,polygon,gray,0.993592,white
86239,000000086239.jpg,404907,1097,toilet,21.77,240.46,108.62,263.69,23007.53,0,polygon,gray,0.93715,white
150026,000000150026.jpg,416129,344,cup,319.56,0.0,180.44,298.54,49292.58,0,polygon,yellow,0.910033,white
243500,000000243500.jpg,417905,474,frisbee,255.41,215.39,145.32,124.9,14097.87,0,polygon,orange,0.968373,orange
306031,000000306031.jpg,421868,1097,toilet,163.51,422.5,190.52,217.5,23677.97,0,polygon,orange,0.937822,white
218924,000000218924.jpg,424829,1097,toilet,0.0,0.0,399.42,373.42,79333.87,0,polygon,gray,0.923884,white
467727,000000467727.jpg,426505,422,elephant,9.37,60.38,630.63,363.62,177879.73,0,polygon,orange,0.957058,brown
314055,000000314055.jpg,427486,296,keyboard,0.0,0.0,640.0,170.45,96385.93,0,polygon,black,0.963225,black
305084,000000305084.jpg,428759,961,sink,0.0,187.35,247.57,136.06,23156.47,0,polygon,gray,0.980871,white
463619,000000463619.jpg,431136,421,fridge,21.23,206.09,157.42,205.71,30282.79,0,polygon,gray,0.978798,white
510235,000000510235.jpg,433651,225,cat,47.36,78.7,592.64,275.55,82396.46,0,polygon,orange,0.976373,orange
12690,000000012690.jpg,434198,110,blanket,0.84,20.63,637.69,374.94,201519.03,0,polygon,orange,0.912069,white
57673,000000057673.jpg,434457,421,fridge,341.68,25.43,147.23,258.54,26485.31,0,polygon,orange,0.916506,white
219269,000000219269.jpg,436604,77,bed,0.0,417.36,333.94,222.64,42546.22,0,polygon,blue,0.991215,blue
162841,000000162841.jpg,442948,1139,vase,103.63,284.93,208.33,198.68,30150.9,0,polygon,orange,0.957412,yellow
436707,000000436707.jpg,446870,421,fridge,305.07,15.25,161.43,295.24,35427.97,0,polygon,gray,0.902027,white
168954,000000168954.jpg,447116,77,bed,138.97,198.43,360.77,176.16,36952.69,0,polygon,orange,0.97104,white
494330,000000494330.jpg,447425,631,laptop,18.05,19.63,447.55,395.51,138181.94,0,polygon,black,0.951259,black
275025,000000275025.jpg,453217,569,horse,0.0,49.62,382.74,575.9,111164.81,0,polygon,orange,0.926375,brown
555427,000000555427.jpg,455042,225,cat,286.65,116.95,353.35,363.05,79314.21,0,polygon,black,0.930535,black
196900,000000196900.jpg,459334,1097,toilet,39.88,65.95,215.57,340.86,50928.62,0,polygon,gray,0.949308,white
112747,000000112747.jpg,467032,421,fridge,0.0,93.13,99.92,146.87,14240.74,0,polygon,orange,0.98968,white
78260,000000078260.jpg,467758,421,fridge,561.81,107.99,78.19,297.95,20098.28,0,polygon,gray,0.958004,gray
560794,000000560794.jpg,470586,961,sink,111.8,372.23,208.88,142.21,16161.23,0,polygon,orange,0.940598,white
564217,000000564217.jpg,471633,1133,umbrella,397.79,267.02,194.06,127.08,17196.34,0,polygon,red,0.998198,red
359033,000000359033.jpg,471679,961,sink,107.85,405.77,201.01,127.42,17272.68,0,polygon,gray,0.991832,white
87123,000000087123.jpg,472160,1139,vase,100.55,296.1,156.43,308.39,34018.2,0,polygon,gray,0.985269,white
256731,000000256731.jpg,474623,373,dishwasher,98.98,207.56,131.58,179.28,19937.56,0,polygon,black,0.97414,black
572289,000000572289.jpg,475546,296,keyboard,0.74,340.73,594.64,86.23,43582.1,0,polygon,gray,0.977624,white
17316,000000017316.jpg,475839,1097,toilet,75.9,307.93,155.87,85.35,8593.71,0,polygon,orange,0.929594,white
134825,000000134825.jpg,482634,1133,umbrella,0.1,0.28,478.31,509.6,112061.3,0,polygon,purple,0.930082,pink
311301,000000311301.jpg,485865,378,dog,0.53,274.09,221.86,152.4,29885.45,0,polygon,orange,0.993131,brown
85143,000000085143.jpg,498380,631,laptop,75.84,47.41,373.84,245.23,86734.08,0,polygon,gray,0.916111,white
578454,000000578454.jpg,502499,68,bathtub,63.46,479.18,376.53,140.92,43588.75,0,polygon,orange,0.968807,white
566743,000000566743.jpg,502517,36,suitcase,0.0,104.15,640.0,375.85,92902.42,0,polygon,black,0.975869,black
210672,000000210672.jpg,502930,687,microwave,86.53,0.0,383.41,60.79,20451.33,0,polygon,gray,0.927523,white
56212,000000056212.jpg,507858,1097,toilet,0.2,0.2,332.7,499.47,153940.06,0,polygon,yellow,0.904606,white
192804,000000192804.jpg,509643,496,giraffe,80.08,52.92,294.92,398.91,79627.47,0,polygon,orange,0.904798,brown
560726,000000560726.jpg,514587,860,quilt,83.37,184.69,405.95,291.1,102298.28,0,polygon,blue,0.988397,blue
29370,000000029370.jpg,514801,225,cat,336.22,0.0,303.78,256.07,52667.29,0,polygon,orange,0.91095,orange
124246,000000124246.jpg,519112,1019,stop sign,260.43,142.85,138.64,133.32,15054.94,0,polygon,gray,0.911735,gray
164634,000000164634.jpg,520021,1133,umbrella,0.99,0.16,196.76,369.64,47205.94,0,polygon,red,0.992628,red
159525,000000159525.jpg,520599,225,cat,63.36,52.13,500.5,397.2,142838.45,0,polygon,orange,0.996415,orange
457768,000000457768.jpg,524352,961,sink,0.0,507.56,480.0,132.44,45299.82,0,polygon,orange,0.997947,white
248457,000000248457.jpg,525845,1133,umbrella,180.5,78.17,329.06,256.29,58048.6,0,polygon,blue,0.939505,black
290361,000000290361.jpg,533806,1097,toilet,58.51,309.79,245.54,169.21,32010.48,0,polygon,gray,0.992596,white
481028,000000481028.jpg,540715,1071,teddy,0.0,141.98,128.22,312.39,29509.93,0,polygon,orange,0.952313,brown
116588,000000116588.jpg,541027,367,table,1.1,287.07,554.62,137.32,49442.83,0,polygon,orange,0.980335,brown
230625,000000230625.jpg,542581,378,dog,0.0,0.0,614.84,310.01,113760.29,0,polygon,orange,0.960591,brown
26359,000000026359.jpg,542790,225,cat,117.92,0.0,522.08,350.6,142887.95,0,polygon,orange,0.987941,orange
206255,000000206255.jpg,544049,225,cat,87.74,71.74,243.0,365.67,56754.13,0,polygon,orange,0.915558,white
400028,000000400028.jpg,546523,631,laptop,386.39,230.54,243.92,151.42,31118.22,0,polygon,orange,0.964329,gray
230867,000000230867.jpg,550907,225,cat,125.75,1.17,512.62,328.54,130193.18,0,polygon,orange,0.986814,orange
25541,000000025541.jpg,554445,422,elephant,94.88,173.21,248.71,421.56,77484.75,0,polygon,gray,0.983937,gray
228953,000000228953.jpg,556957,421,fridge,1.19,154.11,152.04,294.43,36045.93,0,polygon,orange,0.900598,gray
246913,000000246913.jpg,558173,961,sink,0.25,213.58,146.66,160.01,21044.15,0,polygon,gray,0.903358,white
368096,000000368096.jpg,559844,735,orange,313.41,18.93,170.09,170.33,22319.33,0,polygon,orange,0.973309,orange
358236,000000358236.jpg,561662,1077,tv,0.51,1.86,360.78,167.63,59454.4,0,polygon,black,0.981521,black
530033,000000530033.jpg,562500,961,sink,314.36,403.3,165.08,210.51,23613.75,0,polygon,gray,0.962688,white
193001,000000193001.jpg,565076,860,quilt,0.0,0.53,639.83,427.47,271325.52,0,polygon,gray,0.953908,white
193001,000000193001.jpg,565078,631,laptop,18.39,102.43,311.72,291.43,48982.13,0,polygon,gray,0.971318,white
70230,000000070230.jpg,567667,19,chair,147.95,207.95,129.24,118.08,12411.6,0,polygon,orange,0.977551,brown
499958,000000499958.jpg,569271,296,keyboard,232.79,0.96,406.28,384.64,67106.21,0,polygon,gray,0.944066,white
541067,000000541067.jpg,571856,378,dog,0.0,11.05,353.36,321.95,65470.74,0,polygon,orange,0.910082,brown
45663,000000045663.jpg,572989,421,fridge,52.44,78.3,251.35,369.74,69824.04,0,polygon,gray,0.925755,white
390646,000000390646.jpg,574431,1037,surfboard,100.38,31.4,190.9,448.6,66182.78,0,polygon,gray,0.957456,white
40051,000000040051.jpg,578089,1097,toilet,217.62,380.38,114.92,244.54,18949.23,0,polygon,gray,0.98365,white
46616,000000046616.jpg,578351,1037,surfboard,105.47,20.09,94.86,446.21,34539.62,0,polygon,blue,0.970386,blue
515670,000000515670.jpg,579265,421,fridge,47.22,1.38,591.97,477.42,262307.93,0,polygon,gray,0.94947,white
413602,000000413602.jpg,582274,77,bed,1.34,141.42,637.64,283.79,144168.91,0,polygon,gray,0.903696,white
472762,000000472762.jpg,585152,225,cat,253.11,185.13,223.05,112.45,16735.71,0,polygon,orange,0.98548,orange
132059,000000132059.jpg,587781,387,doughnut,33.08,79.76,208.96,157.26,23491.07,0,polygon,orange,0.953271,brown
286471,000000286471.jpg,588065,225,cat,271.23,32.79,260.5,447.08,60628.41,0,polygon,black,0.961771,black
269867,000000269867.jpg,595730,1139,vase,44.23,268.5,61.99,177.75,8847.59,0,polygon,yellow,0.980784,yellow
260311,000000260311.jpg,602021,296,keyboard,95.15,176.54,251.51,158.15,25257.91,0,polygon,black,0.930184,black
425283,000000425283.jpg,606280,45,banana,73.86,103.73,300.78,116.01,24503.32,0,polygon,yellow,0.937916,yellow
103566,000000103566.jpg,608640,387,doughnut,177.64,25.14,318.99,276.44,55593.99,0,polygon,orange,0.933676,brown
42169,000000042169.jpg,613204,1133,umbrella,95.48,84.52,208.6,225.53,22332.47,0,polygon,gray,0.943612,gray
556954,000000556954.jpg,621730,421,fridge,430.96,58.84,75.98,230.28,14732.96,0,polygon,yellow,0.940446,white
224149,000000224149.jpg,631930,150,bread,93.47,100.06,424.12,254.03,79921.24,0,polygon,orange,0.993895,brown
552441,000000552441.jpg,642295,1071,teddy,269.54,112.49,369.42,302.89,65697.52,0,polygon,yellow,0.962015,yellow
251135,000000251135.jpg,642523,378,dog,1.23,51.25,460.75,588.0,171656.91,0,polygon,orange,0.91557,brown
527844,000000527844.jpg,644754,1133,umbrella,35.68,0.0,391.32,331.82,108646.84,0,polygon,blue,0.939758,blue
282252,000000282252.jpg,644884,474,frisbee,0.0,239.46,269.46,240.05,57084.8,0,polygon,red,0.914606,red
160422,000000160422.jpg,648933,296,keyboard,59.43,539.71,308.7,74.41,19621.6,0,polygon,black,0.936691,black
530002,000000530002.jpg,649395,19,chair,0.65,193.04,257.15,286.07,51442.97,0,polygon,black,0.928458,black
6428,000000006428.jpg,650320,296,keyboard,0.0,554.62,251.99,85.38,20821.38,0,polygon,orange,0.911698,white
212063,000000212063.jpg,652117,1097,toilet,87.01,126.96,261.7,409.63,65921.28,0,polygon,gray,0.93299,white
162848,000000162848.jpg,659515,631,laptop,39.86,159.69,172.62,138.03,22611.31,0,polygon,gray,0.916283,black
